video link,creator handler,,,,,,,,,,,,,
https://www.tiktok.com/@ash4.s/video/7515313801131003154,@ash4.s,,,,,,,,,,,,,
https://www.tiktok.com/@the_best_nurse.143/video/7517149914363677960,@the_best_nurse.143,,,,,,,,,,,,,
https://www.tiktok.com/@quick.review0/video/7519560137791507720,@quick.review0,,,,,,,,,,,,,
https://www.tiktok.com/@sir_wubba/video/7517042698084273414,@sir_wubba,,,,,,,,,,,,,
https://www.tiktok.com/@studywithemmane_/video/7524528757437123871,@studywithemmane_,,,,,,,,,,,,,
https://www.tiktok.com/@elopeethabroads/video/7519076714895396116,@elopeethabroads,,,,,,,,,,,,,
https://www.tiktok.com/@studyzz_01/video/7518299533986647316,@studyzz_01,,,,,,,,,,,,,
https://www.tiktok.com/@lena.med02/video/7522400928721538327,@lena.med02,,,,,,,,,,,,,
https://www.tiktok.com/@rupantas_diary/video/7514718469548641554,@rupantas_diary,,,,,,,,,,,,,
https://www.tiktok.com/@crna122/video/7518821677426298143,@crna122,,,,,,,,,,,,,
https://www.tiktok.com/@nhhy.62/video/7521698564767108369,@nhhy.62,,,,,,,,,,,,,
https://www.tiktok.com/@drasimlectures/video/7514744503568239873,@drasimlectures,,,,,,,,,,,,,
https://www.tiktok.com/@by.swgmia/video/7521331280441707784,@by.swgmia,,,,,,,,,,,,,
https://www.tiktok.com/@1stdrsir/video/7514717544083672338,@1stdrsir,,,,,,,,,,,,,
https://www.tiktok.com/@mariwithteas/video/7522865841289940229,@mariwithteas,,,,,,,,,,,,,
https://www.tiktok.com/@korean_studyz/video/7511440635392494854,@korean_studyz,,,,,,,,,,,,,
https://www.tiktok.com/@stefani_ingenito/video/7524502202073779469,@stefani_ingenito,,,,,,,,,,,,,
https://www.tiktok.com/@staaaaar839/video/7520190202984369415,@staaaaar839,,,,,,,,,,,,,
https://www.tiktok.com/@studyv.tok/video/7519173277038742789,@studyv.tok,,,,,,,,,,,,,
https://www.tiktok.com/@megane_blonde/video/7518115181466012958,@megane_blonde,,,,,,,,,,,,,
https://www.tiktok.com/@stqrfei/video/7512493818625723670,@stqrfei,,,,,,,,,,,,,
https://www.tiktok.com/@kianhabashi/video/7524854939705691423,@kianhabashi,,,,,,,,,,,,,
https://www.tiktok.com/@.rtnruesdrwaatn/video/7519034965548371208,@.rtnruesdrwaatn,,,,,,,,,,,,,
https://www.tiktok.com/@nauniwersytecie/video/7512484439830678806,@nauniwersytecie,,,,,,,,,,,,,
https://www.tiktok.com/@oneredmike/video/7524485322831383838,@oneredmike,,,,,,,,,,,,,
https://www.tiktok.com/@snapsolveai/video/7522038505023802646,@snapsolveai,,,,,,,,,,,,,
https://www.tiktok.com/@jemmaviolett/video/7520697749084458296,@jemmaviolett,,,,,,,,,,,,,
https://www.tiktok.com/@studywvani/video/7515271611797458222,@studywvani,,,,,,,,,,,,,
https://www.tiktok.com/@csillsirenee/video/7515191781311647022,@csillsirenee,,,,,,,,,,,,,
https://www.tiktok.com/@nancyrupaa/video/7521390301475245328,@nancyrupaa,,,,,,,,,,,,,
https://www.tiktok.com/@motsomike/video/7524049410376961285,@motsomike,,,,,,,,,,,,,
https://www.tiktok.com/@mollygostudy/video/7519140479632461070,@mollygostudy,,,,,,,,,,,,,
https://www.tiktok.com/@ioured/video/7521739618740489494,@ioured,,,,,,,,,,,,,
